orden,archivo,linea,almacenamiento,funcion
1,01_rig_face_cloth.c,58,static,rc_add
1,01_rig_face_cloth.c,59,static,rc_sub
1,01_rig_face_cloth.c,60,static,rc_scale
1,01_rig_face_cloth.c,61,static,rc_dot
1,01_rig_face_cloth.c,62,static,rc_cross
1,01_rig_face_cloth.c,65,static,rc_len
1,01_rig_face_cloth.c,66,static,rc_norm
1,01_rig_face_cloth.c,118,extern,rig_cloth_patch_create_grid
1,01_rig_face_cloth.c,186,extern,rig_cloth_pin_add
1,01_rig_face_cloth.c,197,extern,rig_cloth_pin_update_position
1,01_rig_face_cloth.c,206,static,rig_cloth_hash_cell
1,01_rig_face_cloth.c,211,static,rig_cloth_self_collision_resolve
1,01_rig_face_cloth.c,266,static,rig_cloth_capsule_collide_point
1,01_rig_face_cloth.c,286,extern,rig_cloth_step
1,01_rig_face_cloth.c,378,extern,rig_cloth_compute_smooth_normals
1,01_rig_face_cloth.c,407,extern,rig_cloth_save
1,01_rig_face_cloth.c,415,extern,rig_cloth_load
2,02_rig_face_dentition.c,134,extern,rig_dentition_arcade_init_standard
2,02_rig_face_dentition.c,193,static,rig_dent_arch_position
2,02_rig_face_dentition.c,228,static,rig_dent_lerp
2,02_rig_face_dentition.c,230,static,rig_dent_profile_radius
2,02_rig_face_dentition.c,241,static,rig_dent_generate_tooth
2,02_rig_face_dentition.c,417,extern,rig_dentition_generate_arcade
2,02_rig_face_dentition.c,443,extern,rig_dentition_generate_shader
2,02_rig_face_dentition.c,466,extern,rig_dentition_arcade_save
2,02_rig_face_dentition.c,475,extern,rig_dentition_arcade_load
3,03_rig_face_dermal_dynamics.c,96,static,rig_dermal_clamp01
3,03_rig_face_dermal_dynamics.c,102,static,rig_dermal_lerp
3,03_rig_face_dermal_dynamics.c,106,static,rig_dermal_approach
3,03_rig_face_dermal_dynamics.c,115,extern,rig_dermal_state_init
3,03_rig_face_dermal_dynamics.c,142,extern,rig_dermal_update
3,03_rig_face_dermal_dynamics.c,183,static,rig_dermal_wound_stage
3,03_rig_face_dermal_dynamics.c,191,extern,rig_dermal_wound_add
3,03_rig_face_dermal_dynamics.c,206,extern,rig_dermal_wound_eval
3,03_rig_face_dermal_dynamics.c,245,extern,rig_dermal_region_color_delta
3,03_rig_face_dermal_dynamics.c,256,extern,rig_dermal_region_surface
3,03_rig_face_dermal_dynamics.c,270,extern,rig_dermal_wounds_rasterize
3,03_rig_face_dermal_dynamics.c,335,extern,rig_dermal_generate_shader
3,03_rig_face_dermal_dynamics.c,406,extern,rig_dermal_state_save
3,03_rig_face_dermal_dynamics.c,418,extern,rig_dermal_state_load
4,04_rig_face_engine.c,38,static,arena_init
4,04_rig_face_engine.c,56,static,arena_alloc
4,04_rig_face_engine.c,70,static,arena_reset
4,04_rig_face_engine.c,89,static,edge_table_clear
4,04_rig_face_engine.c,99,static,edge_get_or_create
4,04_rig_face_engine.c,156,extern,rig_face_build_base_sphere
4,04_rig_face_engine.c,180,extern,rig_face_subdivide_catmull_clark
4,04_rig_face_engine.c,208,static,radial_influence
4,04_rig_face_engine.c,220,static,phi_deform_axis
4,04_rig_face_engine.c,228,extern,rig_face_apply_cranial_deform
4,04_rig_face_engine.c,266,static,sculpt_sink
4,04_rig_face_engine.c,281,static,sculpt_raise
4,04_rig_face_engine.c,308,static,sculpt_push
4,04_rig_face_engine.c,322,extern,rig_face_sculpt_features
4,04_rig_face_engine.c,418,extern,rig_face_compute_smooth_normals
4,04_rig_face_engine.c,477,extern,rig_face_compute_tangent_basis
4,04_rig_face_engine.c,529,extern,rig_skin_material_from_params
4,04_rig_face_engine.c,583,extern,rig_face_bake_vertex_color
4,04_rig_face_engine.c,631,extern,rig_face_unwrap_uv_seams
4,04_rig_face_engine.c,658,extern,rig_face_export_vbo
4,04_rig_face_engine.c,683,extern,rig_face_export_obj
4,04_rig_face_engine.c,712,extern,rig_face_export_glsl_uniforms
4,04_rig_face_engine.c,741,extern,rig_face_create
4,04_rig_face_engine.c,786,extern,rig_face_destroy
4,04_rig_face_engine.c,793,extern,rig_face_build_neck
4,04_rig_face_engine.c,952,static,facs_compute_zone_centers
4,04_rig_face_engine.c,984,extern,rig_face_build_facs_shapes
4,04_rig_face_engine.c,1040,extern,rig_face_apply_expression
4,04_rig_face_engine.c,1060,extern,rig_face_solve_psd
4,04_rig_face_engine.c,1106,static,bones_from_params
4,04_rig_face_engine.c,1177,static,bone_build_bind
4,04_rig_face_engine.c,1206,extern,rig_face_bind_skeleton
4,04_rig_face_engine.c,1265,static,dq_from_mat4
4,04_rig_face_engine.c,1313,static,dq_transform_point
4,04_rig_face_engine.c,1346,extern,rig_face_skin_dual_quaternion
4,04_rig_face_engine.c,1394,static,raster_tri
4,04_rig_face_engine.c,1458,extern,rig_face_generate_normal_map
4,04_rig_face_engine.c,1478,extern,rig_face_generate_sss_map
4,04_rig_face_engine.c,1501,extern,main
4,04_rig_face_engine.c,1581,extern,main
4,04_rig_face_engine.c,1670,static,_skull_radius
4,04_rig_face_engine.c,1706,extern,rig_face_project_to_skull
4,04_rig_face_engine.c,1808,extern,rig_face_build_neck__v2
4,04_rig_face_engine.c,1899,extern,rig_face_project_to_skull__v2
4,04_rig_face_engine.c,1964,static,arena_init__v2
4,04_rig_face_engine.c,1973,static,arena_alloc__v2
4,04_rig_face_engine.c,1982,static,arena_reset__v2
4,04_rig_face_engine.c,1985,static,edge_table_clear__v2
