orden,archivo,modulo,funciones,copias_fundidas,injertadas,variantes,bytes,sha256
1,src/01_rig_face_cloth.c,rig_face_cloth,17,1,0,0,19991,eb5476f40086661f651391eebd348fa9e938c5c9277f1d7c895f571c0ec0b83d
2,src/02_rig_face_dentition.c,rig_face_dentition,9,1,0,0,23624,3918c380bf0002b1607277b0cd2c51bc0b67ace6269254d468abdb148585f4cd
3,src/03_rig_face_dermal_dynamics.c,rig_face_dermal_dynamics,14,1,0,0,18196,05897f48836e195983d96800db727e77f3fa74fe70992d0a3311c6ecb8960d38
4,src/04_rig_face_engine.c,rig_face_engine,76,6,44,44,128847,dbddfde70b1fd41f094b96ccf0aa9a714ff40482a9f49760331212a9cff47ee8
5,src/05_rig_face_export_arkit.c,rig_face_export_arkit,5,1,0,0,13052,779059fd9aa61ce16bf771562d1f6d964c070c129190fd14c1783a58268d9e46
6,src/06_rig_face_export_vrm.c,rig_face_export_vrm,7,1,0,0,12801,10dd45b25d58330db9e5cbca3e1ee027224c367d1f2407c958d50093aaba4090
7,src/07_rig_face_eye_vergence.c,rig_face_eye_vergence,8,1,0,0,11764,9ef4bf61fded2a8c2d2110b32a597e5d792a1a7984e99ca9054abe3ebb929f92
8,src/08_rig_face_genetics.c,rig_face_genetics,19,1,0,0,19265,f97f97302b1ec1916f74bba8720cdab1e0f21f0bdd5e0693ba27c468eb363b7b
9,src/09_rig_face_hair_growth.c,rig_face_hair_growth,12,1,0,0,15137,b8ef1930f4468df593645baa7b6ea3976f196bccd5a502018200e441685ba7b4
10,src/10_rig_face_ng_anim.c,rig_face_ng_anim,2,6,3,3,93326,261b50b91ff4040695b8274902170618eba18ff0dcca3c9d0629b6ecf9da8290
11,src/11_rig_face_ng_assembly.c,rig_face_ng_assembly,9,6,7,7,218242,28c5e38b912befec831158ec551b9a90791812640457f503821a4992540ad129
12,src/12_rig_face_ng_eyes.c,rig_face_ng_eyes,9,6,4,4,41978,f8e63ebfb16c5b4dcb12f57eb879eb3df781d519559cd4926c54428ca36853ad
13,src/13_rig_face_ng_hair.c,rig_face_ng_hair,9,6,35,5,220339,dbc97eca67e72116741c83bc605102ea96d9d6ef3bab5454e90fdb4b5bcdca8c
14,src/14_rig_face_ng_skin.c,rig_face_ng_skin,1,6,0,0,54057,2eb148037f9fead2e90e219fb0f47f1d8adbbe61d176e48a7209e1c31f4caa47
15,src/15_rig_face_pathtrace_multi.c,rig_face_pathtrace_multi,23,2,0,0,21193,eef50afab85aa60c69048822a6ced6b0969a2f5f0b51be98528a14922c635a2a
16,src/16_rig_face_soft_body.c,rig_face_soft_body,15,1,0,0,13257,c21f68c0d5ee639eed532c00c08d9bd072826bd63508c49a2049884f9791752f
17,src/17_rig_face_sovereign_audio.c,rig_face_sovereign_audio,10,5,0,0,9074,7656db82cfb86c1b2503c6c49475c6deb6189f229a19c86e964bcc8280110c77
18,src/18_rig_face_suite_compat.c,rig_face_suite_compat,4,1,0,0,3531,cd1ff5d0724a7f68616e7a8868ada0a035547abe272b7809877d51dae2014db5
19,src/19_rig_face_voice_synth.c,rig_face_voice_synth,13,1,0,0,17785,696f89451cff0e4b0581bec1787777b7d07749c8ac9b52a2c5b80e21a8328be3
20,src/20_rig_face_archetypes.c,rig_face_archetypes,15,7,3,3,92162,d21708f6db7138980480eb83ebb1f55005784d76d6b8a251221279076af20738
21,src/21_rig_face_codegen.c,rig_face_codegen,9,7,2,2,30852,c1a5068e5e5d535cae7c844af1fc0b5bc0ed854e7549e03a80ab92a7e32fec53
22,src/22_rig_face_sovereign_body.c,rig_face_sovereign_body,20,5,0,0,15862,aabed46550d07a6ba381656ef9ab4cb0c0173fd53f6102ac210c01aa8d4ac8bb
23,src/23_rig_face_sovereign_core.c,rig_face_sovereign_core,35,5,0,0,19630,feb0c5181b9e4811658e76346fbf670f921ea93faa664ae4cf493c83426aa858
24,src/24_rig_face_sovereign_gltf.c,rig_face_sovereign_gltf,8,5,0,0,9858,da84a457a99c0c2e80ac4e29b2df8a2bc16dc5734867cf649da879d4c73d8bce
25,src/25_rig_face_sovereign_vision.c,rig_face_sovereign_vision,13,5,0,0,11973,121c89687c83f006ec874d84ecc6760da5b57d56a1e440c53611e1fa6e07050d
26,src/26_rig_face_sovereign_camera.c,rig_face_sovereign_camera,10,5,0,0,6676,556c49c273c5f3c7ef5e4eb5f7123a34eb64d43122531e6813fedc7b46a75fa8
27,src/27_rig_face_recon_bridge.c,rig_face_recon_bridge,8,1,0,0,18853,f9a8cf09e179d0ff57abec81b685d58b9c3f9cb6bb67c13ec89ecb39739e3b0c
28,src/28_rig_face_sovereign_pathtrace.c,rig_face_sovereign_pathtrace,34,4,0,0,10915,83c985c7a429b2c5e29cd707a257d96e2308ddec2d804e1cdc386590c8873c2b
29,src/29_rig_face_v2.c,rig_face_v2,81,7,23,22,201496,576e18745a34fc6b0a70ddeae00d9f59e0083c7faccb5224110fa1383584b7ac
30,src/30_rig_face_v2_bridge.c,rig_face_v2_bridge,13,5,5,5,52661,61a8f2c51f477089fd904053acb42a4590bf45f7c61e1d6ee66e0688654be6bb
31,src/31_rig_face_sovereign_cli.c,rig_face_sovereign_cli,7,5,0,0,8935,6629867b7308ab4cc1b62dc293a12ce704472da8b432ba94636f6bf57aa3b712
32,src/32_rig_face_pose_body_suite.c,rig_face_pose_body_suite,13,1,0,0,13809,ba06e401bc095a8e7d0fecfff9ee28de1875f42b0f3b127593ccba7c1733d4ff
