modulo,canonico,variante,tipo,almacenamiento,origen,motivo
rig_face_engine,void,void__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:26,"dato global divergente; ausente en la copia canonica"
rig_face_engine,void,void__v3,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:44,"dato global divergente; ausente en la copia canonica"
rig_face_engine,void,void__v4,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:64,"dato global divergente; ausente en la copia canonica"
rig_face_engine,depth,depth__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:236,"dato global divergente; ausente en la copia canonica"
rig_face_engine,height,height__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:262,"dato global divergente; ausente en la copia canonica"
rig_face_engine,amount,amount__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:275,"dato global divergente; ausente en la copia canonica"
rig_face_engine,zones,zones__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:925,"dato global divergente; ausente en la copia canonica"
rig_face_engine,RIG_FACE_BONES,RIG_FACE_BONES__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1114,"dato global divergente; ausente en la copia canonica"
rig_face_engine,tail,tail__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1142,"dato global divergente; ausente en la copia canonica"
rig_face_engine,mode,mode__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1391,"dato global divergente; ausente en la copia canonica"
rig_face_engine,rig_face_build_neck,rig_face_build_neck__v2,function,extern,nested/Face_Pose_Body/rig_face_engine.c:782,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_project_to_skull,rig_face_project_to_skull__v2,function,extern,nested/Face_Pose_Body/rig_face_engine.c:1694,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,arena_init,arena_init__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:18,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,arena_alloc,arena_alloc__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:30,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,arena_reset,arena_reset__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:42,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,edge_table_clear,edge_table_clear__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:59,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,edge_get_or_create,edge_get_or_create__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:68,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_build_base_sphere,rig_face_build_base_sphere__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:122,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_subdivide_catmull_clark,rig_face_subdivide_catmull_clark__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:144,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_apply_cranial_deform,rig_face_apply_cranial_deform__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:189,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,sculpt_sink,sculpt_sink__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:226,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,sculpt_raise,sculpt_raise__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:240,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,sculpt_push,sculpt_push__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:266,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_sculpt_features,rig_face_sculpt_features__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:279,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_compute_smooth_normals,rig_face_compute_smooth_normals__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:374,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_compute_tangent_basis,rig_face_compute_tangent_basis__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:432,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_bake_vertex_color,rig_face_bake_vertex_color__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:537,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_unwrap_uv_seams,rig_face_unwrap_uv_seams__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:584,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_export_glsl_uniforms,rig_face_export_glsl_uniforms__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:664,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_create,rig_face_create__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:692,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_destroy,rig_face_destroy__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:734,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_build_neck,rig_face_build_neck__v3,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:740,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,facs_compute_zone_centers,facs_compute_zone_centers__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:898,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_build_facs_shapes,rig_face_build_facs_shapes__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:929,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_apply_expression,rig_face_apply_expression__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:984,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_solve_psd,rig_face_solve_psd__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1003,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,bones_from_params,bones_from_params__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1048,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,bone_build_bind,bone_build_bind__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1118,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_bind_skeleton,rig_face_bind_skeleton__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1146,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_skin_dual_quaternion,rig_face_skin_dual_quaternion__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1285,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,raster_tri,raster_tri__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1332,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_generate_normal_map,rig_face_generate_normal_map__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1395,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_generate_sss_map,rig_face_generate_sss_map__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1414,"cuerpo divergente; ausente en la copia canonica"
rig_face_engine,rig_face_project_to_skull,rig_face_project_to_skull__v3,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_engine.c:1641,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_anim,NG_FACS_TABLE,NG_FACS_TABLE__v2,global,static,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_anim.c:102,"dato global divergente; ausente en la copia canonica"
rig_face_ng_anim,NG_PHONEME_TABLE,NG_PHONEME_TABLE__v2,global,static,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_anim.c:318,"dato global divergente; ausente en la copia canonica"
rig_face_ng_anim,rig_face_ng_anim_generate,rig_face_ng_anim_generate__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_ng.c:3736,"cuerpo divergente; absorbido de rig_face_ng"
rig_face_ng_assembly,NG_JS_RUNTIME,NG_JS_RUNTIME__v2,global,static,nested/rig_face_v2_bridge/rig_face_ng_assembly.c:224,"dato global divergente; ausente en la copia canonica"
rig_face_ng_assembly,NG_JS_RUNTIME,NG_JS_RUNTIME__v3,global,static,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_assembly.c:224,"dato global divergente; ausente en la copia canonica"
rig_face_ng_assembly,rig_face_ng_generate_html,rig_face_ng_generate_html__v2,function,extern,nested/rig_face_v2_bridge/rig_face_ng_assembly.c:1060,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_assembly,rig_face_ng_generate_html,rig_face_ng_generate_html__v3,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_assembly.c:1033,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_assembly,rig_face_ng_params_default,rig_face_ng_params_default__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_assembly.c:1343,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_assembly,rig_face_ng_result_free,rig_face_ng_result_free__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_assembly.c:1402,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_assembly,rig_face_ng_generate_html,rig_face_ng_generate_html__v4,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_ng.c:4842,"cuerpo divergente; absorbido de rig_face_ng"
rig_face_ng_eyes,eye_dynamics_init,eye_dynamics_init__v2,function,extern,nested/rig_face_v2_bridge/rig_face_ng_eyes.c:493,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_eyes,eye_dynamics_init,eye_dynamics_init__v3,function,static,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_eyes.c:487,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_eyes,eye_dynamics_update,eye_dynamics_update__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_eyes.c:501,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_eyes,eye_dynamics_set_gaze,eye_dynamics_set_gaze__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_eyes.c:584,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_hair,hair_strand_init,hair_strand_init__v2,function,static,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_hair.c:504,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_hair,hair_sim_step,hair_sim_step__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_hair.c:563,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_hair,hair_sim_free,hair_sim_free__v2,function,extern,nested/rig_face_ng_v24/tmp/rig_ng_package/src/rig_face_ng_hair.c:685,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_hair,hair_strand_init,hair_strand_init__v3,function,extern,nested/rig_face_v2_bridge/rig_face_ng_hair.c:449,"cuerpo divergente; ausente en la copia canonica"
rig_face_ng_hair,hair_strand_init,hair_strand_init__v4,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_ng.c:2300,"cuerpo divergente; absorbido de rig_face_ng"
rig_face_archetypes,void,void__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_archetypes.c:929,"dato global divergente; ausente en la copia canonica"
rig_face_archetypes,init_archetypes,init_archetypes__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_archetypes.c:151,"cuerpo divergente; ausente en la copia canonica"
rig_face_archetypes,rig_archetype_list_all,rig_archetype_list_all__v2,function,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_archetypes.c:971,"cuerpo divergente; ausente en la copia canonica"
rig_face_codegen,sz,sz__v2,global,extern,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_codegen.c:24,"dato global divergente; ausente en la copia canonica"
rig_face_codegen,cg_timestamp,cg_timestamp__v2,function,static,nested/16_FACE_NG-1/16_FACE_NG/src/rig_face_codegen.c:14,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2,rig_face_v2_mouth_geo,rig_face_v2_mouth_geo__v2,function,extern,nested/rig_face_v2_bridge/rig_face_v2.c:524,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2,fc_lerp,fc_lerp__v2,function,static,src_raw/rig_face_v2.c:27,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2,fc_smoothstep,fc_smoothstep__v2,function,static,src_raw/rig_face_v2.c:28,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2,v2_noise,v2_noise__v2,function,static,nested/rig_face_v2_bridge/rig_face_engine_v2.c:25,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_v2_create,rig_face_v2_create__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:64,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_v2_destroy,rig_face_v2_destroy__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:135,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_pore_system,rig_face_build_pore_system__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:155,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_vascular_tree,rig_face_build_vascular_tree__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:214,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_wrinkle_lines,rig_face_build_wrinkle_lines__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:254,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_age_apply_to_mesh,rig_age_apply_to_mesh__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:325,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_iris_geometry,rig_face_build_iris_geometry__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:402,"cuerpo divergente; absorbido de rig_face_engine_v2"
