id,ipa,start_s,end_s,confidence,jaw_open,lip_rounding,lip_spreading,lip_protrusion
8,"uː",0.000000,0.010000,0.949572,0.300000,0.900000,0.050000,0.400000
19,"m",0.010000,0.030000,0.941353,0.000000,0.650000,0.000000,0.050000
8,"uː",0.030000,0.060000,0.949949,0.300000,0.900000,0.050000,0.400000
19,"m",0.060000,0.080000,0.938858,0.000000,0.650000,0.000000,0.050000
8,"uː",0.080000,0.110000,0.950894,0.300000,0.900000,0.050000,0.400000
19,"m",0.110000,0.120000,0.943028,0.000000,0.650000,0.000000,0.050000
8,"uː",0.120000,0.140000,0.942908,0.300000,0.900000,0.050000,0.400000
19,"m",0.140000,0.150000,0.940706,0.000000,0.650000,0.000000,0.050000
8,"uː",0.150000,0.180000,0.950839,0.300000,0.900000,0.050000,0.400000
19,"m",0.180000,0.200000,0.939331,0.000000,0.650000,0.000000,0.050000
8,"uː",0.200000,0.240000,0.946949,0.300000,0.900000,0.050000,0.400000
19,"m",0.240000,0.250000,0.942452,0.000000,0.650000,0.000000,0.050000
8,"uː",0.250000,0.260000,0.949570,0.300000,0.900000,0.050000,0.400000
19,"m",0.260000,0.280000,0.941353,0.000000,0.650000,0.000000,0.050000
8,"uː",0.280000,0.310000,0.949944,0.300000,0.900000,0.050000,0.400000
19,"m",0.310000,0.330000,0.938867,0.000000,0.650000,0.000000,0.050000
8,"uː",0.330000,0.360000,0.950894,0.300000,0.900000,0.050000,0.400000
19,"m",0.360000,0.370000,0.943031,0.000000,0.650000,0.000000,0.050000
8,"uː",0.370000,0.390000,0.942904,0.300000,0.900000,0.050000,0.400000
19,"m",0.390000,0.400000,0.940709,0.000000,0.650000,0.000000,0.050000
8,"uː",0.400000,0.430000,0.950838,0.300000,0.900000,0.050000,0.400000
19,"m",0.430000,0.450000,0.939312,0.000000,0.650000,0.000000,0.050000
8,"uː",0.450000,0.490000,0.946948,0.300000,0.900000,0.050000,0.400000
19,"m",0.490000,0.500000,0.942451,0.000000,0.650000,0.000000,0.050000
8,"uː",0.500000,0.510000,0.949564,0.300000,0.900000,0.050000,0.400000
19,"m",0.510000,0.530000,0.941348,0.000000,0.650000,0.000000,0.050000
8,"uː",0.530000,0.560000,0.949954,0.300000,0.900000,0.050000,0.400000
19,"m",0.560000,0.580000,0.938827,0.000000,0.650000,0.000000,0.050000
8,"uː",0.580000,0.610000,0.950903,0.300000,0.900000,0.050000,0.400000
19,"m",0.610000,0.620000,0.943034,0.000000,0.650000,0.000000,0.050000
8,"uː",0.620000,0.640000,0.942905,0.300000,0.900000,0.050000,0.400000
19,"m",0.640000,0.650000,0.940700,0.000000,0.650000,0.000000,0.050000
8,"uː",0.650000,0.680000,0.950858,0.300000,0.900000,0.050000,0.400000
19,"m",0.680000,0.690000,0.865270,0.000000,0.650000,0.000000,0.050000
36,"g",0.690000,0.700000,0.808073,0.100000,0.100000,0.500000,0.000000
8,"uː",0.700000,0.710000,0.930100,0.300000,0.900000,0.050000,0.400000
19,"m",0.710000,0.750000,0.921217,0.000000,0.650000,0.000000,0.050000
8,"uː",0.750000,0.760000,0.929664,0.300000,0.900000,0.050000,0.400000
19,"m",0.760000,0.850000,0.933775,0.000000,0.650000,0.000000,0.050000
8,"uː",0.850000,0.860000,0.936025,0.300000,0.900000,0.050000,0.400000
19,"m",0.860000,0.950000,0.926258,0.000000,0.650000,0.000000,0.050000
8,"uː",0.950000,0.960000,0.930094,0.300000,0.900000,0.050000,0.400000
19,"m",0.960000,1.000000,0.921216,0.000000,0.650000,0.000000,0.050000
8,"uː",1.000000,1.010000,0.929663,0.300000,0.900000,0.050000,0.400000
19,"m",1.010000,1.100000,0.933742,0.000000,0.650000,0.000000,0.050000
8,"uː",1.100000,1.110000,0.936026,0.300000,0.900000,0.050000,0.400000
19,"m",1.110000,1.200000,0.926248,0.000000,0.650000,0.000000,0.050000
8,"uː",1.200000,1.210000,0.930099,0.300000,0.900000,0.050000,0.400000
19,"m",1.210000,1.250000,0.921228,0.000000,0.650000,0.000000,0.050000
8,"uː",1.250000,1.260000,0.929666,0.300000,0.900000,0.050000,0.400000
19,"m",1.260000,1.350000,0.933733,0.000000,0.650000,0.000000,0.050000
8,"uː",1.350000,1.360000,0.936027,0.300000,0.900000,0.050000,0.400000
19,"m",1.360000,1.380000,0.934685,0.000000,0.650000,0.000000,0.050000
18,"b",1.380000,1.390000,0.840900,0.000000,0.700000,0.000000,0.100000
25,"d",1.390000,1.400000,0.731051,0.050000,0.100000,0.600000,0.000000
8,"uː",1.400000,1.430000,0.956785,0.300000,0.900000,0.050000,0.400000
19,"m",1.430000,1.440000,0.950868,0.000000,0.650000,0.000000,0.050000
8,"uː",1.440000,1.470000,0.955233,0.300000,0.900000,0.050000,0.400000
19,"m",1.470000,1.480000,0.951320,0.000000,0.650000,0.000000,0.050000
8,"uː",1.480000,1.570000,0.956336,0.300000,0.900000,0.050000,0.400000
19,"m",1.570000,1.590000,0.951536,0.000000,0.650000,0.000000,0.050000
8,"uː",1.590000,1.680000,0.956528,0.300000,0.900000,0.050000,0.400000
19,"m",1.680000,1.690000,0.950859,0.000000,0.650000,0.000000,0.050000
8,"uː",1.690000,1.720000,0.955219,0.300000,0.900000,0.050000,0.400000
19,"m",1.720000,1.730000,0.951328,0.000000,0.650000,0.000000,0.050000
8,"uː",1.730000,1.820000,0.956331,0.300000,0.900000,0.050000,0.400000
19,"m",1.820000,1.840000,0.951531,0.000000,0.650000,0.000000,0.050000
8,"uː",1.840000,1.930000,0.956531,0.300000,0.900000,0.050000,0.400000
19,"m",1.930000,1.940000,0.950873,0.000000,0.650000,0.000000,0.050000
8,"uː",1.940000,1.970000,0.955257,0.300000,0.900000,0.050000,0.400000
19,"m",1.970000,1.995000,0.951325,0.000000,0.650000,0.000000,0.050000
